feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
eicosatetraenoic.acid	group	2	0.435946366614621	0.194095637908863	48	48	0.0297722830163732	0.103419509425296
linoleic.acid	group	3	0.273369970706919	0.123423237679897	48	48	0.0319910804007428	0.108277502894822
margaric.acid	group	3	-0.280677309385584	0.128342167835033	48	48	0.0341063969738341	0.112551110013653
Creatinine.umol.L	group	3	-0.156616666333923	0.0749618787326112	48	48	0.0424978259235909	0.136822268827171
Malic.Acid..ug.mL.	group	4	-0.271420096576811	0.133432043748841	48	48	0.0479926807691822	0.150834139560287
cis.11.14.eicosaenoic.acid	group	4	-0.448998018031509	0.225998612882977	48	48	0.0532015988740013	0.152665457638438
cis.11.eicosaenoic.acid	group	4	-0.448998018031509	0.225998612882977	48	48	0.0532015988740013	0.152665457638438
Fasting.Glucose.mmol.L	group	3	0.0861732117115078	0.0429328092162782	48	48	0.0508995248745469	0.152665457638438
lignoceric.acid	group	3	-0.438690511432245	0.217585355640518	48	48	0.0499120311595716	0.152665457638438
nervonic.acid	group	3	-0.383619907242534	0.194812214465649	48	48	0.0552500299699523	0.155170296936887
linoleic.acid	group	4	0.239405841558748	0.123423237679897	48	48	0.0588416881822487	0.155982360813224
oleic.acid	group	3	0.291720765909534	0.14988448715013	48	48	0.0580214597123111	0.155982360813224
stearic.acid	group	4	0.209044742153784	0.107878408179848	48	48	0.0590842275807668	0.155982360813224
adrenic.acid	group	4	0.371931532797921	0.196665238599878	48	48	0.065193716033201	0.168736676791814
Fumaric.Acid.ug.mL.	group	3	-0.240678217345149	0.131468084113861	48	48	0.0739236014189302	0.187652218986515
Fumaric.Acid.ug.mL.	group	4	-0.234078369076672	0.131468084113861	48	48	0.0819003038844165	0.200200742828574
pentadecanoic.acid	group	2	-0.264267485759211	0.14829156387846	48	48	0.0816378971172372	0.200200742828574
Fasting.Glucose.mmol.L	group	2	0.0755107717475203	0.0429328092162782	48	48	0.0855626168449636	0.205350280427913
alpha.linolenic.acid	group	2	0.345002694155609	0.19824909096967	48	48	0.0888060108511551	0.209328454149151
docosahexaenoic.acid	group	2	0.323084876273358	0.193587985249974	48	48	0.102232600768459	0.236749180726957
Citric.Acid..ug.mL.	group	3	0.14055236137488	0.0867212508681759	48	48	0.112219647251105	0.241131171411341
dihomo.gamma.linolenic.acid	group	3	0.28953829583965	0.180110655939238	48	48	0.115085331809958	0.241131171411341
Malic.Acid..ug.mL.	group	2	-0.214583009167649	0.13343204374884	48	48	0.114948287754309	0.241131171411341
myristoleic.acid	group	3	-0.512726551497102	0.31497481954604	48	48	0.110700938032307	0.241131171411341
Polyunsaturated3	group	2	0.299977102663069	0.184466241449865	48	48	0.11105122794945	0.241131171411341
Triglycerides..mmol.L.	group	4	0.324792362042415	0.201860366868383	48	48	0.114769930525754	0.241131171411341
ALT..IU.L	group	3	0.193717741394256	0.133744024044534	48	48	0.154588367496522	0.301559795348997
arachidic.acid	group	4	-0.242896442008476	0.168429778717297	48	48	0.156348374141914	0.301559795348997
AST..IU.L	group	3	0.206844597380759	0.143886026747814	48	48	0.157633529386976	0.301559795348997
Beta.Hydroxybuterate..ug.mL.	group	4	-0.381293647933907	0.263114573102342	48	48	0.154384632161915	0.301559795348997
lignoceric.acid	group	4	-0.31527560440636	0.217585355640518	48	48	0.154434673491695	0.301559795348997
nervonic.acid	group	4	-0.287362761501057	0.194812214465649	48	48	0.14731246775953	0.301559795348997
arachidic.acid	group	3	-0.236569986954213	0.168429778717297	48	48	0.167172029896133	0.310798703468867
docosapentaenoic.acid	group	4	-0.29528923585105	0.209724872163908	48	48	0.166162338304114	0.310798703468867
Citric.Acid..ug.mL.	group	2	0.102177866465846	0.0867212508681759	48	48	0.245036725912014	0.44923399750536
arachidonic.acid	group	4	0.173236449868507	0.154449035404482	48	48	0.268098992463319	0.477007492338387
cis.11.14.eicosaenoic.acid	group	2	0.24810593467863	0.225998612882977	48	48	0.278254370530726	0.477007492338387
cis.11.eicosaenoic.acid	group	2	0.24810593467863	0.225998612882977	48	48	0.278254370530726	0.477007492338387
Fumaric.Acid.ug.mL.	group	2	-0.146863473702343	0.131468084113861	48	48	0.270013013650611	0.477007492338387
oleic.acid	group	4	0.166010871019552	0.14988448715013	48	48	0.274056262624235	0.477007492338387
ALP..IU.L	group	4	-0.33018474342788	0.310993507616819	48	48	0.294160555072142	0.479372756413861
behenic.acid	group	3	-0.217981595754272	0.204453579445818	48	48	0.292163779081943	0.479372756413861
dihomo.gamma.linolenic.acid	group	4	0.191934124971667	0.180110655939238	48	48	0.292396738731624	0.479372756413861
docosapentaenoic.acid	group	2	0.224502601413005	0.209724872163908	48	48	0.290248275140133	0.479372756413861
myristic.acid	group	2	0.198325611279002	0.194333478657337	48	48	0.313049852516033	0.503933908928248
eicosapentaenoic.acid	group	2	0.213642659132367	0.215395058836234	48	48	0.326687221168261	0.50469378491016
gamma.linolenic.acid	group	2	0.209024387242574	0.208252096198104	48	48	0.321007301647368	0.50469378491016
myristic.acid	group	4	-0.191896846385936	0.194333478657337	48	48	0.328815647744498	0.50469378491016
myristoleic.acid	group	2	-0.315881108613071	0.31497481954604	48	48	0.32140367082198	0.50469378491016
gamma.linolenic.acid	group	3	0.202387363842678	0.208252096198104	48	48	0.336443473345291	0.510465959558373
ALP..IU.L	group	3	0.29525008854389	0.310993507616819	48	48	0.347614574573508	0.521421861860261
eicosapentaenoic.acid	group	3	-0.200693788630343	0.215395058836234	48	48	0.356551682949522	0.528818226397043
gamma.linolenic.acid	group	4	0.185187438445562	0.208252096198104	48	48	0.378706728692383	0.549332837224116
Monounsaturated2	group	3	0.139596800316644	0.156186405993343	48	48	0.376300758156381	0.549332837224116
cis.13.16.docosadienoic.acid	group	2	0.336368044319832	0.393811940338597	48	48	0.397657454999316	0.564417032902254
palmitoleic.acid	group	4	-0.1834274310233	0.214507659778624	48	48	0.397123203543865	0.564417032902254
myristoleic.acid	group	4	-0.262219999121908	0.31497481954604	48	48	0.409616593173234	0.57520627977518
cis.11.14.eicosaenoic.acid	group	3	-0.183458550420738	0.225998612882977	48	48	0.421294486181985	0.57927991850023
cis.11.eicosaenoic.acid	group	3	-0.183458550420738	0.225998612882977	48	48	0.421294486181985	0.57927991850023
myristic.acid	group	3	-0.143414180295044	0.194333478657337	48	48	0.464444671537879	0.6320278004433
AST..IU.L	group	2	0.102478579354341	0.143886026747814	48	48	0.480087988977511	0.646649128010525
ALT..IU.L	group	2	0.0909715243133005	0.133744024044534	48	48	0.499946840370807	0.665819834725636
Beta.Hydroxybuterate..ug.mL.	group	3	-0.177100286425652	0.263114573102342	48	48	0.504408965701239	0.665819834725636
ALT..IU.L	group	4	-0.0819131657212938	0.133744024044534	48	48	0.543384476806872	0.710165850876307
Polyunsaturated3	group	4	-0.110976125662958	0.184466241449866	48	48	0.550523336362591	0.712441964704529
behenic.acid	group	2	0.118031813590044	0.204453579445818	48	48	0.566676738849495	0.714565638497457
behenic.acid	group	4	-0.118734730083411	0.204453579445818	48	48	0.564377379608789	0.714565638497457
cis.13.16.docosadienoic.acid	group	3	-0.226333542396517	0.393811940338597	48	48	0.568404485168432	0.714565638497457
NEFA.mmol.L	group	2	0.121254900903365	0.228455100984544	48	48	0.598253838722971	0.744995346334266
docosapentaenoic.acid	group	3	-0.109203121435321	0.209724872163908	48	48	0.605188429691781	0.746587595507618
nervonic.acid	group	2	-0.0932868895008183	0.194812214465649	48	48	0.634412671842907	0.775393265585776
NEFA.mmol.L	group	3	0.106139464346701	0.228455100984545	48	48	0.644511234432712	0.780509017845119
Citric.Acid..ug.mL.	group	4	0.0379108539269756	0.0867212508681759	48	48	0.664135209470028	0.789782411261655
palmitoleic.acid	group	2	0.0940211283576467	0.214507659778623	48	48	0.663305168976035	0.789782411261655
ALP..IU.L	group	2	-0.131651927350686	0.310993507616819	48	48	0.674118873291496	0.794497243522121
docosahexaenoic.acid	group	3	0.0784245970113924	0.193587985249974	48	48	0.687358995547906	0.802932631967465
docosahexaenoic.acid	group	4	-0.0666559706600386	0.193587985249974	48	48	0.732246853354002	0.840643021687671
NEFA.mmol.L	group	4	-0.0786211321549268	0.228455100984545	48	48	0.732378390106683	0.840643021687671
arachidic.acid	group	2	0.0523372350117942	0.168429778717296	48	48	0.757468451278212	0.851304995962717
AST..IU.L	group	4	0.0464296791020844	0.143886026747814	48	48	0.748463188103961	0.851304995962717
eicosatetraenoic.acid	group	3	0.0594016774090878	0.194095637908863	48	48	0.76101507214849	0.851304995962717
lignoceric.acid	group	2	-0.0643058062641391	0.217585355640518	48	48	0.768969444256773	0.852974509595748
alpha.linolenic.acid	group	3	0.0488345554764192	0.19824909096967	48	48	0.806572926741244	0.879897738263175
palmitoleic.acid	group	3	-0.054040445909612	0.214507659778624	48	48	0.802269912261328	0.879897738263175
Beta.Hydroxybuterate..ug.mL.	group	2	0.050293742644328	0.263114573102342	48	48	0.849289202341181	0.918903071385541
cis.13.16.docosadienoic.acid	group	4	0.0560178631868905	0.393811940338597	48	48	0.887535677469258	0.937237675407536
Creatinine.umol.L	group	2	0.0116717397731161	0.0749618787326112	48	48	0.876979802354713	0.937237675407536
eicosapentaenoic.acid	group	4	-0.0309617022611678	0.215395058836234	48	48	0.886359122899945	0.937237675407536
Creatinine.umol.L	group	4	-0.00846047210533768	0.0749618787326112	48	48	0.910652017582679	0.950305220262699
Polyunsaturated3	group	3	-0.0199639597115844	0.184466241449866	48	48	0.914308810404263	0.950305220262699
eicosatetraenoic.acid	group	4	-0.0174914062138225	0.194095637908863	48	48	0.928602859321786	0.957621698675591
margaric.acid	group	2	0.00895026460223458	0.128342167835033	48	48	0.94471856505956	0.966688764246992
Monounsaturated2	group	4	-0.00794983729762735	0.156186405993343	48	48	0.959635837207294	0.974399465472021
alpha.linolenic.acid	group	4	0.00110980794752116	0.19824909096967	48	48	0.99555873182729	0.999999999999997
Insulin..mU.L..y	group	2	-2.07241631263362e-15	0.564682454343626	48	24	0.999999999999997	0.999999999999997
